feature_id,timeframe,horizon,availability_status,eligible_observations,valid_symbols,valid_temporal_folds,independent_calendar_block_count,aggregate_paired_delta_log_loss,positive_fold_fraction,symbol_concentration,brier_improvement,status,rejection_reason,first_observed_time,last_observed_time,valid_rows,valid_months,coverage_fraction
vwap_deviation20,15m,24h,HISTORICAL_AVAILABLE,10816,2,85,114,-0.0017883757608004168,0.6352941176470588,0.7662721893491125,-0.0008806258491634865,S0_REJECTED,non-positive aggregate paired delta log-loss,,,,,
taker_buy_sell_ratio,15m,1h,HISTORICAL_AVAILABLE,11000,2,87,116,-1.3079379519591453e-05,0.5402298850574713,0.7618181818181818,-7.828924555238062e-06,S0_REJECTED,non-positive aggregate paired delta log-loss,,,,,
taker_buy_sell_ratio,15m,4h,HISTORICAL_AVAILABLE,10976,2,87,116,0.0003832616134838213,0.5287356321839081,0.7623906705539358,0.00018103622179088409,S0_SURVIVOR,,,,,,
taker_buy_sell_ratio,15m,24h,HISTORICAL_AVAILABLE,10816,2,85,114,0.0004959730109583212,0.4823529411764706,0.7662721893491125,2.433425760127442e-05,S0_REJECTED,not positive in a majority of valid folds,,,,,
cvd_slope6,15m,1h,HISTORICAL_AVAILABLE,11000,2,87,116,0.0004569165068713781,0.5632183908045977,0.7618181818181818,0.00022608425591334337,S0_SURVIVOR,,,,,,
cvd_slope6,15m,4h,HISTORICAL_AVAILABLE,10976,2,87,116,0.0008385821084704457,0.6091954022988506,0.7623906705539358,0.0004066893619558457,S0_SURVIVOR,,,,,,
cvd_slope6,15m,24h,HISTORICAL_AVAILABLE,10816,2,85,114,0.0001598795639156284,0.5882352941176471,0.7662721893491125,-0.00010090241993075817,S0_SURVIVOR,,,,,,
bb_bandwidth20,15m,1h,HISTORICAL_AVAILABLE,11000,2,87,116,0.00038446780660424194,0.42528735632183906,0.7618181818181818,0.00018805805591942594,S0_REJECTED,not positive in a majority of valid folds,,,,,
bb_bandwidth20,15m,4h,HISTORICAL_AVAILABLE,10976,2,87,116,0.000601794775079618,0.4827586206896552,0.7623906705539358,0.0002839974348921993,S0_REJECTED,not positive in a majority of valid folds,,,,,
bb_bandwidth20,15m,24h,HISTORICAL_AVAILABLE,10816,2,85,114,-0.003312887318259005,0.49411764705882355,0.7662721893491125,-0.0013839655279053937,S0_REJECTED,non-positive aggregate paired delta log-loss; not positive in a majority of valid folds,,,,,
premium,15m,1h,HISTORICAL_UNAVAILABLE,0,0,0,0,,,,,HISTORICAL_UNAVAILABLE,unavailable for every symbol,,,0.0,0.0,0.0
premium,15m,4h,HISTORICAL_UNAVAILABLE,0,0,0,0,,,,,HISTORICAL_UNAVAILABLE,unavailable for every symbol,,,0.0,0.0,0.0
premium,15m,24h,HISTORICAL_UNAVAILABLE,0,0,0,0,,,,,HISTORICAL_UNAVAILABLE,unavailable for every symbol,,,0.0,0.0,0.0
premium_zscore90,15m,1h,HISTORICAL_AVAILABLE,0,0,0,0,,,,,S0_REJECTED,non-positive aggregate paired delta log-loss; not positive in a majority of valid folds; fewer than two independent calendar blocks; insufficient multi-symbol coverage,,,,,
premium_zscore90,15m,4h,HISTORICAL_AVAILABLE,0,0,0,0,,,,,S0_REJECTED,non-positive aggregate paired delta log-loss; not positive in a majority of valid folds; fewer than two independent calendar blocks; insufficient multi-symbol coverage,,,,,
premium_zscore90,15m,24h,HISTORICAL_AVAILABLE,0,0,0,0,,,,,S0_REJECTED,non-positive aggregate paired delta log-loss; not positive in a majority of valid folds; fewer than two independent calendar blocks; insufficient multi-symbol coverage,,,,,
